Document #,Store#,PO#,PO Date,Address1,City,State,Zip,Vendor #,Ship Date,Qty Sold,Unit of Measurement,Unit Price,UPC,Description,Document Total
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,2,EA,8.15,726404011953,1 Gallon Vine,579.35
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,1,EA,7.25,726404012974,1 Gallon Evergreen,579.35
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,1,EA,10.5,726404015012,1.5 Gallon Hydrangea (8"),756.85
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,1,EA,10.5,726404015036,1.5 Gallon Hydrangea (8"),510.65
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,2,EA,10,726404030299,3 Gallon Shrub,510.65
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,1,EA,17,726404030770,3 Gallon Shrub,579.35
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,1,EA,17,726404030787,3 Gallon Shrub,579.35
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,1,EA,38,726404030862,Ornamental Trees,756.85
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,1,EA,25.75,726404050730,5 Gallon Fruit Tree,756.85
107456,00003,POTest_107456_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100413,2,EA,22,726404050907,5 Gallon Evergreen,508.25
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,1,EA,20.5,726404051027,5 Gallon Shrub,756.85
107567,00003,POTest_107567_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100414,3,EA,38,726404051294,Ornamental Trees,178.6
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,1,EA,25.75,726404051331,5 Gallon Fruit Tree,756.85
107456,00003,POTest_107456_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100413,1,EA,27.5,726404051515,5 Gallon Shrub,508.25
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,1,EA,27.5,726404051515,5 Gallon Shrub,756.85
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,1,EA,38,726404052086,Ornamental Trees,579.35
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,2,EA,36,726404090361,7 & 10 Gallon Evergreen,510.65
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,1,EA,36,726404090361,7 & 10 Gallon Evergreen,579.35
107567,00003,POTest_107567_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100414,5,EA,1.1,726404290006,1204 Annual /12ct tray,178.6
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,18,EA,1.1,726404290006,1204 Annual /12ct tray,510.65
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,96,EA,1.1,726404290006,1204 Annual /12ct tray,579.35
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,24,EA,1.1,726404290006,1204 Annual /12ct tray,756.85
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,18,EA,1.1,726404290013,1204 Vegetable /12ct tray,510.65
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,13,EA,1.1,726404290013,1204 Vegetable /12ct tray,579.35
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,63,EA,1.1,726404290013,1204 Vegetable /12ct tray,756.85
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,24,EA,1.1,726404290105,1204 Peppers /12ct tray,510.65
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,6,EA,1.1,726404290105,1204 Peppers /12ct tray,579.35
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,8,EA,1.1,726404290105,1204 Peppers /12ct tray,756.85
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,18,EA,1.1,726404290204,1204 Tomatoes /12ct tray,510.65
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,20,EA,1.1,726404290204,1204 Tomatoes /12ct tray,579.35
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,27,EA,1.1,726404290204,1204 Tomatoes /12ct tray,756.85
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,1,EA,7.5,726404300156,Mini Flat,756.85
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,7,EA,1.25,726404381001,3 1/2" Peppers /12ct tray,510.65
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,9,EA,1.25,726404381001,3 1/2" Peppers /12ct tray,579.35
