CUSTOMER                      ,PAYEE                         ,PROC/PAY DATE       ,EFFECT/GOOD FUNDS/CH,CHECK/PAYMENT TRACE NUMBER    ,TOTAL CRED
SEARS HOLDINGS MANAGEMENT CORP,COLOR INK INC SBT             ,20100915            ,20100915            ,'771527961                    ,0009238.36

INVOICE DATE                  ,INVOICE/CREDIT MEMO NUMBER    ,PO NUMBER           ,OUTBOUND-FROM PARTY ,RETURN GOODS AUTH NUMBER ,STORE NUMBER   ,NET AMOUNT,ADJUSTMENT,GROSS AMOUNT   ,ORIGINAL INVOICE NUMBER  ,ADJUSTMENT REASON        ,NOTES,DOCUMENT DATE                 ,OTHER DISC AMT      ,DEPT NUMBER         
20100909                      ,'                             ,'0020100910         ,                    ,                         ,04051          ,0000006.64,0000000000,000000000006.64,                         ,                         ,,20100909                      ,0000000000,'043                
20100912                      ,'                             ,'0020100913         ,                    ,                         ,04051          ,0000013.28,0000000000,000000000013.28,                         ,                         ,,20100912                      ,0000000000,'043                
20100906                      ,'                             ,'0020100907         ,                    ,                         ,04089          ,0000025.29,0000000000,000000000025.29,                         ,                         ,,20100906                      ,0000000000,'043                
20100907                      ,'                             ,'0020100908         ,                    ,                         ,04089          ,0000000020,0000000000,000000000000020,                         ,                         ,,20100907                      ,0000000000,'043                
20100908                      ,'                             ,'0020100909         ,                    ,                         ,04089          ,0000007.26,0000000000,000000000007.26,                         ,                         ,,20100908                      ,0000000000,'043                
20100909                      ,'                             ,'0020100910         ,                    ,                         ,04089          ,0000000006,0000000000,000000000000006,                         ,                         ,,20100909                      ,0000000000,'043                
20100910                      ,'                             ,'0020100911         ,                    ,                         ,04089          ,0000000014,0000000000,000000000000014,                         ,                         ,,20100910                      ,0000000000,'043                
20100911                      ,'                             ,'0020100912         ,                    ,                         ,04089          ,0000000034,0000000000,000000000000034,                         ,                         ,,20100911                      ,0000000000,'043                
20100906                      ,'                             ,'0020100907         ,                    ,                         ,04130          ,0000022.47,0000000000,000000000022.47,                         ,                         ,,20100906                      ,0000000000,'043                
20100907                      ,'                             ,'0020100908         ,                    ,                         ,04130          ,0000000048,0000000000,000000000000048,                         ,                         ,,20100907                      ,0000000000,'043                
20100908                      ,'                             ,'0020100909         ,                    ,                         ,04130          ,0000009.66,0000000000,000000000009.66,                         ,                         ,,20100908                      ,0000000000,'043                
20100909                      ,'                             ,'0020100910         ,                    ,                         ,04130          ,0000017.75,0000000000,000000000017.75,                         ,                         ,,20100909                      ,0000000000,'043                
20100910                      ,'                             ,'0020100911         ,                    ,                         ,04130          ,0000001.75,0000000000,000000000001.75,                         ,                         ,,20100910                      ,0000000000,'043                
20100911                      ,'                             ,'0020100912         ,                    ,                         ,04130          ,0000030.38,0000000000,000000000030.38,                         ,                         ,,20100911                      ,0000000000,'043                
20100912                      ,'                             ,'0020100913         ,                    ,                         ,04130          ,0000000.36,0000000000,000000000000.36,                         ,                         ,,20100912                      ,0000000000,'043                
20100906                      ,'                             ,'0020100907         ,                    ,                         ,04156          ,0000118.41,0000000000,000000000118.41,                         ,                         ,,20100906                      ,0000000000,'043                
20100907                      ,'                             ,'0020100908         ,                    ,                         ,04156          ,0000036.02,0000000000,000000000036.02,                         ,                         ,,20100907                      ,0000000000,'043                
20100908                      ,'                             ,'0020100909         ,                    ,                         ,04156          ,0000101.36,0000000000,000000000101.36,                         ,                         ,,20100908                      ,0000000000,'043                
20100909                      ,'                             ,'0020100910         ,                    ,                         ,04156          ,0000077.24,0000000000,000000000077.24,                         ,                         ,,20100909                      ,0000000000,'043                
20100910                      ,'                             ,'0020100911         ,                    ,                         ,04156          ,0000055.72,0000000000,000000000055.72,                         ,                         ,,20100910                      ,0000000000,'043                
20100911                      ,'                             ,'0020100912         ,                    ,                         ,04156          ,0000084.04,0000000000,000000000084.04,                         ,                         ,,20100911                      ,0000000000,'043                
20100912                      ,'                             ,'0020100913         ,                    ,                         ,04156          ,0000069.13,0000000000,000000000069.13,                         ,                         ,,20100912                      ,0000000000,'043                
20100906                      ,'                             ,'0020100907         ,                    ,                         ,04158          ,0000000095,0000000000,000000000000095,                         ,                         ,,20100906                      ,0000000000,'043                
20100907                      ,'                             ,'0020100908         ,                    ,                         ,04158          ,0000084.25,0000000000,000000000084.25,                         ,                         ,,20100907                      ,0000000000,'043                
20100908                      ,'                             ,'0020100909         ,                    ,                         ,04158          ,00000085.5,0000000000,0000000000085.5,                         ,                         ,,20100908                      ,0000000000,'043                
20100909                      ,'                             ,'0020100910         ,                    ,                         ,04158          ,0000000068,0000000000,000000000000068,                         ,                         ,,20100909                      ,0000000000,'043                
20100910                      ,'                             ,'0020100911         ,                    ,                         ,04158          ,00000051.5,0000000000,0000000000051.5,                         ,                         ,,20100910                      ,0000000000,'043                
20100911                      ,'                             ,'0020100912         ,                    ,                         ,04158          ,00000116.5,0000000000,0000000000116.5,                         ,                         ,,20100911                      ,0000000000,'043                
20100912                      ,'                             ,'0020100913         ,                    ,                         ,04158          ,0000000096,0000000000,000000000000096,                         ,                         ,,20100912                      ,0000000000,'043                
20100909                      ,'                             ,'0020100910         ,                    ,                         ,04171          ,0000000024,0000000000,000000000000024,                         ,                         ,,20100909                      ,0000000000,'043                
20100910                      ,'                             ,'0020100911         ,                    ,                         ,04171          ,00000072.4,0000000000,0000000000072.4,                         ,                         ,,20100910                      ,0000000000,'043                
20100911                      ,'                             ,'0020100912         ,                    ,                         ,04171          ,0000000006,0000000000,000000000000006,                         ,                         ,,20100911                      ,0000000000,'043                
20100912                      ,'                             ,'0020100913         ,                    ,                         ,04171          ,0000000002,0000000000,000000000000002,                         ,                         ,,20100912                      ,0000000000,'043                
20100906                      ,'                             ,'0020100907         ,                    ,                         ,04215          ,00000067.5,0000000000,0000000000067.5,                         ,                         ,,20100906                      ,0000000000,'043                
20100907                      ,'                             ,'0020100908         ,                    ,                         ,04215          ,00000028.5,0000000000,0000000000028.5,                         ,                         ,,20100907                      ,0000000000,'043                
20100908                      ,'                             ,'0020100909         ,                    ,                         ,04215          ,00000009.5,0000000000,0000000000009.5,                         ,                         ,,20100908                      ,0000000000,'043                
20100909                      ,'                             ,'0020100910         ,                    ,                         ,04215          ,0000020.89,0000000000,000000000020.89,                         ,                         ,,20100909                      ,0000000000,'043                
20100910                      ,'                             ,'0020100911         ,                    ,                         ,04215          ,0000022.25,0000000000,000000000022.25,                         ,                         ,,20100910                      ,0000000000,'043                
20100911                      ,'                             ,'0020100912         ,                    ,                         ,04215          ,00000050.5,0000000000,0000000000050.5,                         ,                         ,,20100911                      ,0000000000,'043                
20100912                      ,'                             ,'0020100913         ,                    ,                         ,04215          ,00000026.5,0000000000,0000000000026.5,                         ,                         ,,20100912                      ,0000000000,'043                
20100906                      ,'                             ,'0020100907         ,                    ,                         ,04220          ,00000010.5,0000000000,0000000000010.5,                         ,                         ,,20100906                      ,0000000000,'043                
